Video Id,Video Title,Doc Name
1hCuqLQfmRw,FILIPINA +AMERICAN LIFE CRAVING FOR DONUT+COOKING DINNER GRILL CHICKEN +MASH SWEET POTATO,112
1hR4G8d9WQ8,I thought I was DYING in the Philippines?! Foreigner's SO Grateful for Filipino Healthcare!,113
1kErCqgIVMk,Tour of The House We Built in The Philippines,114
1kqTWaM9FsY,Our Harry Potter Studio Experience!  | Filipino Dutch Family,115
1qa9wW9Qghs,Americans React To Do Filipinos speak Spanish? | DEBUNKING PHILIPPINES MYTHS,116
1qe4A4gGhIA,Travel Discounts for Senior expat/foreigners over 60 in the Philippines.,117
1rlXGI3NnTU,What FILIPINO'S Think Of Tourists? We CANNOT BELIEVE THIS! | Foreigners REACTION!,118
1rvvN5No_Yk,Alone and retired in the Philippines at 87 years old,119
1zHTRAYF5F0,Trying Filipino Restaurant by Korean Chef *BEEN 20 YEARS in Korea* 🇵🇭  [KrisTIKIM Ep.1],120
20SwObTtOB8,I secretly learnt Tagalog and surprised my Filipina Girlfriend with this marriage proposal,121
23GYjckuz9E,Trying SPICY LECHON in Cebu City Philippines,122
23cDngtz2Mo,"LATINAS FIRST TIME REACTION TO PHILIPPINES NATIONAL ANTHEM IN SPANISH, ENGLISH & TAGALOG - Minyeo TV",123
255FPlIIomg,"THIS SURPRISED US in ORMOC CITY, PHILIPPINES! | Foreigner Driving in the Philippines Experience!",124
27yofdZnH9s,School Life in Japan | What do you think about Filipinos? | VLOG#1,125
28K1KJwvuBI,MY FIRST TIME in Manila Philippines  🇵🇭,126
29tdn7VHGOY,Two Rock Fans REACT To Filipinos Who Made Pinoys Proud #3,127
2ANT-UEHGLc,Filipino React to Manila & Jakarta 2020 (The Capital of Philippines and Indonesia),128
2DBEblhgaJk,Americans React to 10 Christmas Traditions in the Philippines! (Jahric Lago),129
2DIqmd6yQBY,Whang Od - The 101 year old tattoo artist in the Philippines,130
2D_v3mrBmGI,Americans React To The Philippines Innovation Boom | PHILIPPINES IS MAKING BIG MOVES!,131
2E-52BubRvM,"Indie HEAVEN 🤩🙌|Latinos react to Adie - ""Paraluman"" LIVE on Wish 107.5 Bus",132
2Emt_xXktmI,Filipino Nurses React to Hot Takes about their Job,133
2FHnLyeuvt0,Filipinska tradicija dočeka Nove godine | Filipino New Year's eve tradition,134
2Fb8gaX-PFs,Celebrity Chefs Reaction on Filipino Food,135
2G4w9gH8iEs,NYC Strangers React to Top Filipino Singers?!,136
2GS8wQxCC9M,Filipinos are basically Latinos... | Latinos react to FILIPINO LATIN BAND - Sabor Latino,137
2I0UVHXizcA,MY ARAB SISTER CRIED? FILIPINO WEDDING! 😍🇵🇭,138
2IhEU5rzUOE,Dutch Mom and Dad Try Filipino Food Brazo De Mercedes!!,139
2KmDs7fyymk,Foreigner Life in Philippines City !!.. (Very DIFFERENT Life),140
2OT5Pcl4iF0,TRYING FILIPINO RUM for the FIRST TIME! THINGS GOT WILD!,141
2Ol8aJTPEl4,Trying FILIPINO SNACKS for the FIRST TIME!,142
2P1ccsT_vKk,FOREIGNER HUSBAND BECOME HAIR STYLIST OF FILIPINA WIFE EXPAT LIVING PHILIPPINES,143
2PUZu5SE83s,First Time In SIQUIJOR Philippines! Is This REAL PARADISE?,144
2TZut-fFaII,Foreigners Exploring SAGADA!! STRANGEST Town in the Philippines Mountains?!,145
2TghJw4IZZ0,"Sarah Geronimo sings ""Only Love Can Hurt Like This"" on ASAP Natin To | Singer Reaction!",146
2TkGKRUcH9M,Filipino Family BBQ at STANLEY PARK | Vancouver VLOG 2021,147
2cj-ZOqXn0s,70 Year Old American goes to the Philippines & Reacts to the Pregnancy Reveal,148
2e1ryHgn6ag,AMERICANS REACT TO TOP 10 PHILIPPINES Christmas Traditions,149
2j2xM_D4mFc,Foreigner and Filipina Living in the Philippines 🇵🇭,150
2l94S4_jMTY,Eating STREET FOOD in WORLDS OLDEST CHINATOWN 🇵🇭  Binondo Manila Philippines,151
2lXdrSXl9Io,We Tried Chinese Filipino Fast Food - Chowking,152
2nb7W-iphsk,"Latinos react to ABS-CBN Christmas 2020 ""Ikaw Ang Liwanag At Ligaya"" Lyric Video| REACTION",153
2ncOVB0wTtc,MY FIRST TIME in the Philippines 🇵🇭,154
