Id,Level,Texts,General Category,Specific Category,Conceptual Relation,Philippine Context
Z1113,4,soft fork mushroom steak,,,3,1
Z230,3,meal noodle chicken-chicken dip fresh mukbang plate,,,3,4
Z1117,4,noodle dip mukbang sausage kfc chain,,,4,4
Z1116,4,meal chicken-chicken fresh gravy,,,5,3
Z1118,4,burger pie mcdonald jolly,,,5,5
Z1115,4,plate pasta bowl pan chef juicy excited,,,2,1
Z311,2,cheese sugar dessert milk ice-cream snack bean,,,4,3
Z227,3,cheese dessert ice-cream snack chocolate ube coconut,,,5,5
Z1104,4,ice-cream ube purple,,,5,5
Z1103,4,dessert coconut cake,,,5,3
Z1102,4,chocolate corn cheese-cheese snack-snack oreo,,,4,3
Z1100,4,cheese cheesy,,,5,2
Z1101,4,snack cream creamy butter chip candy cracker,,,5,2
Z228,3,sugar milk bean barbecue chewy peanut grill,,,3,3
Z1106,4,peanut caramel nut ball strawberry tooth,,,3,2
Z1110,4,combination bakery wrap dough cut donut sell,,,4,2
Z1107,4,bean green jelly,,,5,3
Z1109,4,barbecue chewy grill intestine,,,5,5
Z1105,4,milk sugar,,,5,1
Z1108,4,leaf sticky portion veggie alina,,,1,1
Z47,1,road walk ride beach trip tourist local,,,4,2
Z317,2,beach island tour swim boat ocean pool,,,5,3
Z242,3,beach island boat sunset beach-beach palawan sand,,,5,5
Z1188,4,boat sunset palawan lagoon,,,5,5
Z1187,4,beach island beach-beach sand resort,,,5,4
Z241,3,tour swim ocean pool adventure sea swimming,,,5,3
Z1182,4,swim pool swimming,,,5,1
Z1184,4,river typhoon wind,,,4,3
Z1186,4,adventure village travel,,,5,2
Z1185,4,tour guide,,,5,1
Z1183,4,drone port bar catch rock siargao fly,,,2,5
Z1181,4,ocean sea diving shark,,,5,4
Z318,2,road walk ride trip tourist local spot,,,4,2
Z245,3,road car bike motorbike,,,5,2
Z1196,4,road car,,,5,1
Z1197,4,bike motorbike,,,5,3
Z243,3,walk ride taxi busy tricycle hotel bus,,,5,4
Z1192,4,hotel ferry wifus cebu-cebu bohol,,,4,5
Z1190,4,busy walk,,,5,2
Z1191,4,online ticket load scooter distance internet fee,,,3,3
Z1189,4,ride taxi tricycle bus terminal,,,5,4
Z244,3,trip tourist local spot view flight explore,,,5,3
Z1194,4,trip local view explore main airport destination,,,5,3
Z1193,4,tourist spot,,,5,3
Z1195,4,flight plane,,,5,1
