Id,Level,Texts,General Category,Specific Category
Z1142,4,mall mall-mall shopping-mall,Travel,Shopping Malls
Z1139,4,makati security venice,Travel,
Z1140,4,bgc modern global,Travel,BGC
Z1138,4,manila-manila metro makatus,Travel,
Z316,2,island beach tourist tour view boat spot,Travel,
Z236,3,island tourist palawan nido boracay ferry lagoon,Travel,
Z1144,4,island tourist boracay ferry lagoon coral,Travel,
Z1143,4,nido palawan,Travel,
Z237,3,beach tour view boat spot walk swim,Travel,
Z1145,4,beach beach-beach,Travel,
Z1150,4,diving bohol coron chocolate-hill hill breath,Travel,
Z1148,4,view trip private hop activity gorgeous,Travel,
Z1147,4,boat paradise resort tide siargao,Travel,
Z1149,4,pool ocean swimming,Travel,Swimming
Z1146,4,swim sunset sand drone cave,Travel,
Z1152,4,adventure destination,Travel,
Z1151,4,tour guide,Travel,Tour Guide
Z1153,4,spot walk tropical cafe season square bakery,Travel,
Z44,1,mountain wall foot river blue bathroom sky,Travel,
Z314,2,wall bathroom bed property build house-house door,Lifestyle / Others,Property Description
Z231,3,wall property build house-house hole tank concrete,Lifestyle / Others,Property Description
Z1113,4,property house-house,Lifestyle / Others,Property Description
Z1118,4,plant wood kitchen tower vegan,Lifestyle / Others,Property Description
Z1116,4,tank water-water truck pressure,Lifestyle / Others,Property Description
Z1114,4,build timber,Lifestyle / Others,Property Description
Z1115,4,jame pipe jane,Others,
Z1117,4,wall hole concrete,Lifestyle / Others,Property Description
Z232,3,bathroom bed door shower bedroom toilet window,Lifestyle / Others,Property Description
Z1122,4,door close forget wine,Lifestyle / Others,Property Description
Z1119,4,bathroom shower toilet stair,Lifestyle / Others,Property Description
Z1120,4,bed sleep,Lifestyle / Others,Property Description
Z1121,4,bedroom window apartment rent,Lifestyle / Others,Property Description
Z313,2,mountain foot river blue sky bamboo tree,Travel,
Z229,3,blue sky cloud sea dog picture wave,,
Z1106,4,dog noise cat power tag,Others/Lifestyle,Pets
Z1108,4,church christian earth,Culture,Christian Church
Z1107,4,animal feed turtle,Others/Lifestyle,PEts
Z1103,4,blue sky cloud,Others,Sky
Z1104,4,sea wave gate,Travel,
Z1105,4,picture photo screen light quiet,,
Z228,3,mountain river jungle nature forest snake village,Travel,
Z1101,4,jungle forest snake village waterfall bird monkey,Travel,
Z1102,4,mountain river nature,Travel,
Z230,3,foot bamboo tree grass size bigger ground,Travel,
Z1110,4,catch field heavy weight farm block kilo,Others,
Z1109,4,bamboo grass root control,Travel,Bamboo
Z1111,4,foot tree ground rock deep horse slow,Others,
Z1112,4,size bigger,Others,
