num_topics,alpha,eta,coherence_c_v,coherence_u_mass,coherence_npmi,topic_diversity,jaccard_similarity
15,auto,0.01,0.3825072068664955,-2.063411325599163,-0.32320482151001256,0.6133333333333333,0.05450636394908841
15,auto,0.1,0.3792599423354526,-2.1170107451183986,-0.32629777241179336,0.5866666666666667,0.06086703687322883
15,auto,0.5,0.3835787455799234,-11.118384922232785,-0.3147234468399158,0.9866666666666667,0.0010025062656641604
15,auto,auto,0.3810860847013949,-2.0861473949390024,-0.3202960823041122,0.5933333333333334,0.060592658115877926
20,symmetric,symmetric,0.3444933858725499,-2.635618327839214,-0.34277888976545745,0.56,0.043784512881791686
20,symmetric,0.01,0.34028701302138215,-2.66581162269548,-0.34505428264516974,0.56,0.04598609526913259
20,symmetric,0.1,0.34306839089454105,-2.602812347669329,-0.33954118590599575,0.605,0.03981496569080079
20,symmetric,0.5,0.3515806923844974,-12.697772157940722,-0.2902819762238434,0.99,0.0005540166204986149
20,symmetric,auto,0.3444933858725499,-2.635618327839214,-0.34277888976545745,0.56,0.043784512881791686
20,asymmetric,symmetric,0.3246843697418196,-2.732740047698411,-0.3515169469171754,0.595,0.0377319718284359
20,asymmetric,0.01,0.32809931124456315,-2.350401613802525,-0.34094316449141215,0.56,0.04505503955968352
20,asymmetric,0.1,0.36162508972126683,-3.9998267430487635,-0.34991635338687926,0.655,0.032754874803106834
20,asymmetric,0.5,0.3118278531814033,-12.743415474980015,-0.2799803922284144,0.995,0.00027700831024930745
20,asymmetric,auto,0.3246843697418196,-2.732740047698411,-0.3515169469171754,0.595,0.0377319718284359
20,0.01,symmetric,0.354777233595016,-2.6302802097589613,-0.3376278249167808,0.565,0.04271495301721796
20,0.01,0.01,0.33242075935507065,-2.477003552798703,-0.34366295620946435,0.56,0.04108277660094509
20,0.01,0.1,0.35369537003682805,-2.6069275911198533,-0.3408039256130222,0.61,0.040368077055383554
20,0.01,0.5,0.3567515354247399,-12.539126806006465,-0.28530483165615156,0.99,0.0005540166204986149
20,0.01,auto,0.354777233595016,-2.6302802097589613,-0.3376278249167808,0.565,0.04271495301721796
20,0.1,symmetric,0.3518018953533025,-2.8256533195879827,-0.3488769551439901,0.565,0.04498895587782666
20,0.1,0.01,0.3578393232450118,-2.7212928629303534,-0.34897705611779356,0.555,0.043829323049626126
20,0.1,0.1,0.3488442573466883,-2.784461639193106,-0.3441222949451715,0.6,0.039888744047942355
20,0.1,0.5,0.3400100715760598,-12.81008055703235,-0.28839436842766236,0.995,0.00027700831024930745
20,0.1,auto,0.3518018953533025,-2.8256533195879827,-0.3488769551439901,0.565,0.04498895587782666
20,0.5,symmetric,0.33623867556949294,-2.952973796029218,-0.3486474493896586,0.72,0.025310955407093588
20,0.5,0.01,0.3887368503156441,-2.8861548076343353,-0.3474978969395498,0.735,0.018103307805116504
20,0.5,0.1,0.3622356400591541,-3.89702964212477,-0.3493521613870098,0.74,0.020657939999637897
20,0.5,0.5,0.3430787383325954,-12.366760554714398,-0.29071841480883637,0.98,0.0011080332409972298
20,0.5,auto,0.33623867556949294,-2.952973796029218,-0.3486474493896586,0.72,0.025310955407093588
